Year,Total,Full- time,Part- time,Total Males,Total Females,Full-time-males,Part-time-males,Full-time-females,Part-time-females,Public,Private-total,Private-nonprofit,Private-forprofit
1967,896065,448238,447827,630701,265364,354628,276073,93610,171754,522623,373442,373336,106
1968,1037377,469747,567630,696649,340728,358686,337963,111061,229667,648657,388720,388681,39
1969,1120175,506833,613342,738673,381502,383630,355043,123203,258299,738551,381624,381558,66
1970,1212243,536226,676017,793940,418303,407724,386216,128502,289801,807879,404364,404287,77
1971,1204390,564236,640154,789131,415259,428167,360964,136069,279190,796516,407874,407804,70
1972,1272421,583299,689122,810164,462257,436533,373631,146766,315491,848031,424390,424278,112
1973,1342452,610935,731517,833453,508999,444219,389234,166716,342283,897104,445348,445205,143
1974,1425001,643927,781074,856847,568154,454706,402141,189221,378933,956770,468231,467950,281
1975,1505404,672938,832466,891992,613412,467425,424567,205513,407899,1008476,496928,496604,324
1976,1577546,683825,893721,904551,672995,459286,445265,224539,448456,1033115,544431,541064,3367
1977,1569084,698902,870182,891819,677265,462038,429781,236864,440401,1004013,565071,561384,3687
1978,1575693,704831,870862,879931,695762,458865,421066,245966,449796,998608,577085,573563,3522
1979,1571922,714624,857298,862754,709168,456197,406557,258427,450741,989991,581931,578425,3506
1980,1621840,736214,885626,874197,747643,462387,411810,273827,473816,1015439,606401,601084,5317
1981,1617150,732182,884968,866785,750365,452364,414421,279818,470547,998669,618481,613557,4924
1982,1600718,736813,863905,860890,739828,453519,407371,283294,456534,983014,617704,613350,4354
1983,1618666,747016,871650,865425,753241,455540,409885,291476,461765,985616,633050,628111,4939
1984,1623869,750735,873134,856761,767108,452579,404182,298156,468952,983879,639990,634109,5881
1985,1650381,755629,894752,856370,794011,451274,405096,304355,489656,1002148,648233,642795,5438
1986,1705536,767477,938059,867010,838526,452717,414293,314760,523766,1053177,652359,644185,8174
1987,1720407,768536,951871,863599,856808,447212,416387,321324,535484,1054665,665742,662408,3334
1988,1738789,794340,944449,864252,874537,455337,408915,339003,535534,1058242,680547,NA,NA
1989,1796029,820254,975775,879025,917004,461596,417429,358658,558346,1090221,705808,NA,NA
1990,1859531,844955,1014576,904150,955381,471217,432933,373738,581643,1135121,724410,716820,7590
1991,1919666,893917,1025749,930841,988825,493849,436992,400068,588757,1161606,758060,746687,11373
1992,1949659,917676,1031983,941053,1008606,502166,438887,415510,593096,1168270,781389,770802,10587
1993,1980844,948136,1032708,943768,1037076,508574,435194,439562,597514,1177301,803543,789700,13843
1994,2016182,969070,1047112,949785,1066397,513592,436193,455478,610919,1188552,827630,809642,17988
1995,2030062,983534,1046528,941409,1088653,510782,430627,472752,615901,1188748,841314,824351,16963
1996,2040572,1004114,1036458,932153,1108419,512100,420053,492014,616405,1185216,855356,830238,25118
1997,2051747,1019464,1032283,927496,1124251,510845,416651,508619,615632,1188640,863107,837790,25317
1998,2070030,1024627,1045403,923132,1146898,505492,417640,519135,627763,1187557,882473,852270,30203
1999,2110246,1049591,1060655,930930,1179316,508930,422000,540661,638655,1201511,908735,869739,38996
2000,2156896,1086674,1070222,943501,1213395,522847,420654,563827,649568,1213464,943432,896239,47193
2001,2212377,1119862,1092515,956384,1255993,531260,425124,588602,667391,1247285,965092,909612,55480
2002,2354634,1212107,1142527,1009726,1344908,566930,442796,645177,699731,1319138,1035496,959385,76111
2003,2431117,1280880,1150237,1032892,1398225,589190,443702,691690,706535,1335595,1095522,994375,101147
2004,2491414,1325841,1165573,1047214,1444200,598727,448487,727114,717086,1329532,1161882,1022319,139563
2005,2523511,1350581,1172930,1047054,1476457,602525,444529,748056,728401,1324104,1199407,1036324,163083
2006,2574568,1386226,1188342,1061059,1513509,614709,446350,771517,741992,1332707,1241861,1064626,177235
2007,2644357,1428914,1215443,1088314,1556043,632576,455738,796338,759705,1353197,1291160,1100823,190337
2008,2737076,1492813,1244263,1122272,1614804,656926,465346,835887,778917,1380936,1356140,1124987,231153
2009,2849415,1567080,1282335,1169777,1679638,689977,479800,877103,802535,1424393,1425022,1172501,252521
2010,2937011,1630142,1306869,1209477,1727534,719408,490069,910734,816800,1439171,1497840,1201489,296351
2011,2933287,1637356,1295931,1211264,1722023,722265,488999,915091,806932,1421404,1511883,1207896,303987
2012,2908840,1637312,1271528,1204068,1704772,724017,480051,913295,791477,1406567,1502273,1206988,295285
2013,2900373,1657334,1243039,1201057,1699316,732112,468945,925222,774094,1398556,1501817,1215927,285890
2014,2914582,1670173,1244409,1211151,1703431,742439,468712,927734,775697,1410178,1504404,1224748,279656
2015,2940492,1685837,1254655,1221566,1718926,749971,471595,935866,783060,1422383,1518109,1244198,273911